gyro_x,gyro_y,gyro_z
3.211,-3.292,-1.972
2.685,-3.097,-1.481
1.813,-2.612,-1.051
1.06,-1.943,-0.6881
0.5911,-1.184,-0.3998
0.1977,-0.3968,-0.1322
-0.2446,0.4206,0.1463
-0.616,1.222,0.431
-0.7589,1.977,0.7804
-0.6636,2.637,1.208
-0.6832,3.213,1.513
-0.1468,3.606,1.677
0.3468,3.722,1.507
1.077,3.272,0.916
1.366,2.199,0.1121
1.135,0.7627,-0.4645
0.3248,-0.4762,-0.7174
0.2148,-1.473,-0.7565
0.3969,-2.091,-0.6209
0.4885,-2.461,-0.4523
0.4103,-2.707,-0.3656
0.3248,-2.746,-0.2788
0.07065,-2.624,-0.1603
-0.1236,-2.356,-0.1078
-0.2042,-1.906,-0.06869
-0.01975,-1.231,0.0009468
-0.17,-0.4322,0.128
-0.6367,0.4597,0.3333
-1.081,1.479,0.5739
-2.339,2.524,0.9722
-3.951,3.294,1.551
-5.58,3.427,2.188
-5.657,3.067,2.777
-4.467,2.535,2.948
-3.086,1.841,2.587
-1.783,1.352,1.71
-1.101,1.039,0.6656
-1.3,0.5977,-0.1102
-1.741,0.1946,-0.5427
-1.171,-0.1219,-0.803
-0.3056,-0.3577,-0.9312
0.2637,-0.5886,-1.11
0.4934,-0.7657,-1.395
0.6962,-0.9001,-1.758
0.9344,-0.8989,-2.081
1.127,-0.8671,-2.275
1.175,-0.795,-2.38
0.7756,-0.6155,-2.265
0.4738,-0.4346,-1.667
0.2967,-0.1952,-0.6185
0.7475,0.1958,0.5361
0.6852,0.6112,1.545
0.5398,1.064,2.248
0.3126,1.447,2.59
0.3101,1.683,2.645
0.06332,1.718,2.519
-0.2348,1.481,2.254
-0.2531,1.102,1.824
-0.1798,0.7089,1.229
-0.3056,0.2752,0.4835
-0.5463,-0.1426,-0.2556
-0.6453,-0.4908,-0.8787
-0.3252,-0.7462,-1.361
0.271,-0.9514,-1.69
1.125,-1.22,-1.893
1.143,-1.427,-2.121
0.9136,-1.394,-2.559
0.3248,-1.345,-2.655
0.1354,-1.143,-2.085
0.2551,-0.5018,-0.8494
0.2319,0.2275,0.5788
0.1855,0.8616,1.654
0.3626,1.455,2.276
0.3272,1.949,2.438
0.3309,2.081,2.377
0.844,1.917,2.161
0.9369,1.641,1.782
0.7279,1.259,1.275
-0.0393,0.7468,0.7548
-0.4547,0.2031,0.2881
-0.3667,-0.332,-0.2092
-0.2042,-0.8097,-0.7113
-0.04174,-1.197,-1.187
0.3859,-1.535,-1.613
1.281,-1.886,-1.953
1.347,-2.196,-2.268
1.71,-2.505,-2.637
1.821,-2.92,-3.053
2.994,-2.954,-2.91
4.097,-3.028,-2.402
5.265,-2.75,-1.512
3.945,-2.413,-1.034
2.429,-1.747,-0.7248
1.088,-1.03,-0.5782
0.4213,-0.3259,-0.4144
-0.003871,0.1799,-0.2654
-0.4889,0.5965,0.00339
-0.7076,1.016,0.3125
-1.187,1.58,0.7071
-1.982,2.25,1.208
-2.471,3.08,1.647
-2.675,3.532,2.011
-2.328,4.056,2.438
-2.644,4.004,2.494
-2.001,3.672,2.294
-1.288,3.044,1.845
-0.1493,2.567,1.523
-0.3618,2.022,1.126
-1.042,1.453,0.8354
-1.58,0.858,0.5788
-1.927,0.2532,0.2233
-1.553,-0.266,-0.2165
-0.8554,-0.6985,-0.6979
-0.3093,-1.059,-1.173
0.02423,-1.363,-1.569
0.1904,-1.621,-1.868
0.1855,-1.819,-2.083
0.1513,-1.918,-2.254
0.08531,-1.965,-2.401
-0.08817,-1.901,-2.544
-0.02098,-1.786,-2.644
0.02423,-1.575,-2.429
-0.2959,-1.098,-1.622
-0.8249,-0.5287,-0.6502
-1.5,-0.01925,0.3357
-1.46,0.4145,1.093
-0.3789,0.8946,1.761
0.6876,1.391,2.349
1.184,1.883,2.738
1.385,2.311,2.942
1.544,2.511,2.824
0.756,2.352,2.4
