acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-0.04072,0.02635,9.915,-3.064,2.078,2.474,1
-0.05748,0.01677,9.887,-3.912,3.59,6.504,1
-0.3377,-0.07664,10.16,-3.05,3.514,9.238,1
-0.03114,0.007185,9.875,-2.144,4.852,7.198,1
-0.05509,-0.01677,9.908,-2.864,2.092,4.404,1
-0.02395,0.01198,9.925,1.092,0.9679,2.418,1
-0.02156,0.01437,9.803,-0.7748,-0.453,-0.04914,1
-0.07425,0.04072,9.877,0.045,-1.356,-1.584,1
-0.05988,-0.002395,9.858,0.1684,-2.02,-2.82,1
-4.079,-8.466,-7.058,-0.2348,-2.521,-3.689,1
-0.0479,-0.01437,9.92,-0.2213,-2.709,-4.407,1
-0.03593,0.01916,9.863,1.771,-2.569,-5.982,1
-0.03353,-0.00958,9.853,2.972,-2.422,-6.962,1
-0.05269,0.002395,9.879,3.724,-1.628,-6.049,1
-0.05269,0.04311,9.863,1.98,-0.7999,-4.028,1
-0.04072,0.0479,9.877,0.1745,0.4426,0.005834,1
-0.04311,0.03593,9.891,-3.061,2.493,4.455,1
-0.08622,0.03593,9.899,-3.141,3.317,8.025,1
-0.06467,0.01677,9.803,-1.443,3.345,8.031,1
-0.06467,0.01916,9.879,-5.306,2.92,5.278,1
-0.05509,0,9.865,-1.868,1.841,3.361,1
-0.0982,0.02395,9.834,-0.7125,0.8018,1.357,1
-0.08143,0.007185,9.851,-0.2885,-0.343,-0.5366,1
-1.82,7.516,6.081,0.3712,-1.284,-2.144,1
-0.06946,0.04311,9.887,0.6033,-1.594,-3.424,1
-0.0958,-0.02395,9.875,0.6717,-1.664,-4.615,1
-3.185,0.02635,10.31,2.275,-2.212,-5.807,1
-0.05988,-0.002395,9.887,3.66,-1.956,-6.743,1
-0.09101,0.0479,9.908,4.633,-1.267,-5.566,1
-0.08622,0.04072,9.882,3.195,-0.6399,-3.303,1
-0.06706,0.04072,9.848,0.8721,0.9923,0.5422,1
-2.096,-9.252,-5.257,-2.545,4.194,4.89,1
-0.02874,0.00958,9.889,-2.686,3.663,6.946,1
-0.07664,0.007185,9.913,-2.329,3.739,6.086,1
-0.08862,0.02874,9.875,-6.198,1.971,4.005,1
-0.06946,0.01437,9.908,-1.708,1.046,2.54,1
-5.839,6.582,4.776,-0.9495,0.3754,1.142,1
-1.679,7.477,6.32,-0.7113,-0.04368,-0.08824,1
-0.08143,0.002395,9.853,0.5862,-0.5214,-1.444,1
-0.07185,0.06946,9.865,1.181,-0.8965,-2.914,1
-0.00479,-0.00958,9.81,2.441,-1.495,-4.565,1
-2.783,6.196,6.699,4.744,-2.413,-5.686,1
-0.05269,0.0479,9.889,4.079,-3.585,-5.31,1
-0.09101,0.02874,9.932,2.249,-3.577,-4.031,1
-0.06946,0.05509,9.848,0.8416,-1.935,-2.643,1
-4.735,7.017,6.471,0.1745,0.3131,0.1964,1
-0.03114,0.01677,9.884,-2.606,3.128,3.771,1
-0.03353,0.02874,9.92,-3.134,3.723,6.464,1
-0.07664,0.04551,9.889,-1.636,2.881,7.071,1
-0.08862,0.00479,9.879,-3.369,2.804,5.367,1
-0.06467,0.03832,9.887,-2.264,1.929,2.684,1
-0.06946,-0.007185,9.839,-0.5084,0.6466,1.562,1
-0.05748,0.03353,9.86,-1.262,-0.01681,-0.01616,1
-0.08862,0.05988,9.889,-0.1187,-0.4652,-1.41,1
-7.338,0.7449,6.203,-0.1297,-1.008,-2.77,1
-0.03114,0.00479,9.884,1.168,-1.727,-4.303,1
-0.07664,-0.00479,9.856,4.029,-2.889,-6.334,1
-0.0958,0.01916,9.872,6.195,-3.875,-6.813,1
-0.02635,0.02635,9.875,4.319,-3.605,-5.747,1
-0.07425,0.02395,9.899,1.468,-1.669,-4.274,1
-0.03593,0.03593,9.872,0.2234,1.082,-1.538,1
-0.05509,0.04551,9.884,-2.964,3.643,2.144,1
-0.08862,0.02395,9.844,-4.701,4.368,5.425,1
-0.06467,0.0503,9.865,-3.869,2.987,7.219,1
-2.096,-1.518,10.24,-4.874,2.019,6.33,1
-0.06706,-0.01677,9.915,-4.502,0.7895,4.342,1
-0.1293,0.007185,9.891,-0.2812,0.5037,2.516,1
-0.05509,0.007185,9.935,-0.2763,0.5965,0.3675,1
-0.06467,0.01198,9.856,1.081,0.01129,-1.325,1
-0.04551,0.03832,9.872,1.427,-0.6338,-2.348,1
-3.123,-7.434,1.655,0.7622,-1.43,-3.348,1
-0.07664,0.03353,9.848,1.637,-2.371,-4.582,1
-0.08862,0.02395,9.851,0.8953,-3.246,-5.59,1
-0.02635,-0.00479,9.887,2.26,-3.115,-5.249,1
-0.1006,0.07425,9.774,1.801,-2.031,-4.017,1
-0.1054,0.02635,9.894,1.917,-0.2379,-2.273,1
-0.06467,0.02635,9.925,0.9967,1.483,1.45,1
-0.04551,0.02635,9.896,-2.281,3.697,4.839,1
