gyro_x,gyro_y,gyro_z,acceleration_x,acceleration_y,acceleration_z,activity
1.941,-3.048,-6.275,-0.05988,0.002395,9.872,1
3.181,-2.254,-6.147,-0.04072,0.007185,9.86,1
2.269,-1.011,-4.427,-0.06227,0.01437,9.887,1
-0.09306,0.1701,-1.576,-0.04551,0.002395,9.906,1
-3.064,2.078,2.474,-0.02635,0.002395,9.877,1
-3.912,3.59,6.504,-0.07185,-0.00479,9.891,1
-3.05,3.514,9.238,-0.03353,0.04072,9.863,1
-2.144,4.852,7.198,-7.877,0.4335,6.565,1
-2.864,2.092,4.404,-0.08862,0.0479,9.853,1
1.092,0.9679,2.418,-0.07185,0.02156,9.86,1
-0.7748,-0.453,-0.04914,-0.07904,0.01677,9.884,1
0.045,-1.356,-1.584,-0.03593,0.01677,9.846,1
0.1684,-2.02,-2.82,-0.05269,0.007185,9.856,1
-0.2348,-2.521,-3.689,-0.03114,0.03832,9.863,1
-0.2213,-2.709,-4.407,-7.961,0.3473,6.038,1
1.771,-2.569,-5.982,-0.07904,-0.02635,9.858,1
2.972,-2.422,-6.962,-0.1126,0.002395,9.841,1
3.724,-1.628,-6.049,-0.03593,0.01198,9.879,1
1.98,-0.7999,-4.028,-0.06467,0.04072,9.901,1
0.1745,0.4426,0.005834,-0.06946,0.007185,9.872,1
-3.061,2.493,4.455,-0.1054,0.03114,9.891,1
-3.141,3.317,8.025,-1.751,7.566,6.043,1
-1.443,3.345,8.031,-0.02874,0.02156,9.951,1
-5.306,2.92,5.278,-0.04551,0.00958,9.865,1
-1.868,1.841,3.361,-1.31,2.881,9.283,1
-0.7125,0.8018,1.357,-0.09341,-0.03353,9.832,1
-0.2885,-0.343,-0.5366,-2.048,-7.362,-5.964,1
0.3712,-1.284,-2.144,-0.0503,0.0479,9.858,1
0.6033,-1.594,-3.424,-3.082,-7.717,-4.129,1
0.6717,-1.664,-4.615,-0.03114,0.05748,9.764,1
2.275,-2.212,-5.807,-2.845,-8.191,-4.388,1
3.66,-1.956,-6.743,-0.03353,-0.03353,9.899,1
4.633,-1.267,-5.566,-0.0479,0.02156,9.923,1
3.195,-0.6399,-3.303,-0.07185,-0.01677,9.894,1
0.8721,0.9923,0.5422,0.3473,0.6778,8.612,1
-2.545,4.194,4.89,-0.05748,0.02395,9.918,1
-2.686,3.663,6.946,-0.03832,0.03353,9.918,1
-2.329,3.739,6.086,-0.07185,0.01437,9.913,1
-6.198,1.971,4.005,-0.0479,-0.02635,9.913,1
-1.708,1.046,2.54,-0.1245,0.01437,9.839,1
-0.9495,0.3754,1.142,-0.0503,0.01437,9.875,1
-0.7113,-0.04368,-0.08824,-1.375,2.979,9.127,1
0.5862,-0.5214,-1.444,-0.06706,0.007185,9.867,1
1.181,-0.8965,-2.914,-0.05509,-0.00479,9.894,1
2.441,-1.495,-4.565,-0.08622,0.03832,9.911,1
4.744,-2.413,-5.686,-0.04072,0.00479,9.87,1
4.079,-3.585,-5.31,-0.06467,-0.06706,9.884,1
2.249,-3.577,-4.031,0.1916,0.6419,8.236,1
0.8416,-1.935,-2.643,-0.05988,0.02156,9.899,1
0.1745,0.3131,0.1964,-0.05269,0.02395,9.879,1
-2.606,3.128,3.771,-6.471,-0.5532,7.657,1
-3.134,3.723,6.464,-0.04311,0.02874,9.848,1
-1.636,2.881,7.071,-2.709,-8.615,-4.579,1
-3.369,2.804,5.367,-3.566,-0.8287,11.42,1
-2.264,1.929,2.684,-0.07664,0.0479,9.848,1
-0.5084,0.6466,1.562,-0.03593,0.05748,9.913,1
