acceleration_x,acceleration_y,acceleration_z
-7.729,-0.879,0.4024
-9.041,-1.068,0.8886
-10.25,-1.827,1.736
-10.92,-2.201,2.361
-11.86,-1.48,2.369
-12.24,-2.048,2.821
-12.39,-1.305,3.212
-12.46,-1.971,3.437
-11.17,-2.076,4.127
-10.53,-1.818,4.091
-9.436,-1.566,4.723
-8.969,-3.008,4.584
-8.897,-2.503,4.376
-9.338,-2.223,4.206
-9.992,-2.357,3.813
-10.71,-1.914,3.346
-11.64,-1.868,2.953
-12.03,-1.775,2.582
-12.63,-1.53,2.383
-12.88,-1.174,2.335
-12.32,-1.662,2.06
-11.41,-0.6946,1.396
-9.956,-0.9891,1.384
-8.931,-0.9221,0.879
-7.499,-1.593,0.6347
-7.13,-1.015,0.1964
-7.022,-1.435,0.3114
-7.698,-0.8838,0.1485
-8.713,-1.015,0.1461
-10.04,-1.581,0.9532
-11.41,-1.392,1.439
-12.6,-1.655,1.818
-13.02,-1.384,2.323
-12.86,-2.273,3.07
-12.66,-2.024,2.611
-11.48,-3.3,4.251
-10.52,-2.972,4.313
-9.441,-3.243,5.056
-9.012,-2.076,4.359
-9.377,-2.644,3.844
-9.501,-2.814,3.748
-10.07,-2.733,3.243
-10.71,-2.373,2.982
-11.8,-2.033,2.625
-12.64,-2.323,2.397
-12.68,-1.904,2.522
-12.68,-1.035,2.194
-11.52,-0.2682,1.324
-10.15,-0.4934,1.32
-9.309,-0.4431,1.516
-8.064,-0.5317,1.095
-7.688,-0.3329,0.4718
-7.738,-0.4335,0.5053
-8.181,-0.5916,0.6179
-8.749,-1.008,0.9724
-9.671,-1.138,1.183
-10.43,-1.039,1.226
-11.4,-1.233,1.801
-12.03,-1.423,2.057
-12.72,-1.801,2.496
-12.57,-1.198,1.794
-12.58,-0.9053,2.179
-11.36,-3.054,3.305
-10.18,-2.999,4.486
-9.206,-2.455,3.324
-9.23,-2.594,3.935
-8.895,-3.195,3.897
-9.396,-2.773,3.451
-10.17,-2.496,2.855
-10.95,-2.429,2.785
-11.97,-1.32,2.769
-12.34,-1.657,2.436
-12.81,-0.4383,1.602
-12.19,-2.977,1.631
-12.13,-1.365,1.736
-11.28,-1.071,1.461
-9.882,-0.3401,0.3593
-9.731,-0.4598,0.5413
-8.308,0.5988,-0.3736
-8.404,-0.7017,0.07664
-8.368,-1.226,0.1293
-8.718,-0.3808,-0.4622
-9.903,-0.3545,-0.1988
-10.63,-0.5173,0.115
-12.27,-0.6059,0.6299
-12.5,-2.014,1.533
-13.2,-1.054,1.679
-13.09,-1.696,2.577
-11.96,-2.017,3.339
-11.4,-1.794,2.687
-10.41,-1.358,3.233
-9.673,-3.176,3.858
-9.103,-3.521,3.712
-8.974,-3.348,2.814
-8.953,-3.116,2.314
-9.52,-2.776,1.892
-10.34,-2.613,1.751
-11.37,-2.338,1.787
-11.96,-2.22,1.837
-12.43,-2.103,2.156
-12.67,-1.219,1.336
-12.18,-0.7137,1.827
-11.71,-0.7999,1.423
-10.59,-2.081,1.442
-10.76,-1.08,0.5269
-9.654,0.1653,0.1844
-8.747,0.558,-0.02635
-8.768,1.502,-0.6227
-8.169,-1.118,0.6778
-9.218,0.5556,0.1892
-9.887,-1.633,1.207
-10.72,0.02156,0.9173
-11.05,-0.7041,1.667
-11.69,-0.6155,2.036
-11.69,-1.255,1.911
-11.77,-2.735,2.788
-11.4,-1.928,2.788
-10.71,-2.316,2.843
-10.36,-2.433,3.272
-10.14,-2.824,3.832
-9.058,-2.891,4.222
-8.993,-2.608,3.77
-9.422,-2.429,3.015
-10.1,-2.599,2.848
-10.95,-1.89,2.565
-11.45,-1.621,2.474
-12.37,-1.645,2.402
-11.77,-1.672,2.227
-12.27,-1.152,2.194
-11.24,-1.655,2.273
-10.68,-1.068,2.522
-10.06,-0.6203,1.686
-9.087,-0.3569,1.344
-8.268,-0.8143,1.528
-7.769,-0.2299,1.336
-7.611,-0.7113,1.36
-7.741,-0.5173,0.9772
-8.725,-1.073,1.255
-9.075,-0.8718,1.372
-10.36,-0.582,1.411
-10.98,-2.247,2.268
-11.68,-1.284,2.084
-12.33,-1.847,2.405
-11.93,-1.973,2.235
-11.78,-4.033,3.698
-11.03,-2.73,4.258
-9.98,-0.9245,4.828
-9.58,-0.9053,4.8
-9.23,-1.911,4.792
-9.175,-2.237,4.232
-9.573,-2.608,3.696
-10.34,-1.906,3.315
-11.04,-1.813,3.185
-11.69,-1.971,2.714
-11.72,-2.706,2.831
-12.02,-1.887,2.256
-11.96,-0.9891,1.717
-11.79,-0.6826,1.734
-10.49,-1.111,1.375
-8.993,-0.182,-0.1772
-7.851,-0.8215,0.1174
-7.834,-0.2826,-0.5125
-8.066,0.03114,-1.368
-9.12,-0.2443,-0.9891
-10.38,-0.3521,-0.3521
-11.74,-1.011,0.6251
-12.36,-1.861,1.899
-12.85,-2.189,2.019
-12.3,-2.493,2.606
-12.53,-2.254,2.96
-11.29,-2.144,4.04
-10.81,-2.026,3.801
-9.738,-2.467,3.873
-9.125,-2.615,3.925
-8.881,-3.276,4.242
-9.106,-2.773,3.765
-9.556,-2.589,3.444
-10.28,-1.938,3.224
-10.98,-3.032,3.056
-11.74,-2.117,2.661
-12.17,-1.744,2.259
-12.32,-1.607,2.136
-11.91,-1.669,1.502
-11.24,-1.226,1.248
-10.56,-0.9173,0.2587
-9.853,1.734,-1.777
-9.408,0.8694,-1.545
-9.048,2.062,-2.072
-9.341,1.207,-1.499
-9.865,0.7616,-1.289
-10.54,-0.2012,-0.3593
-11.33,-0.8478,0.3712
-12.01,-1.284,0.9748
-12.31,-1.887,1.7
-12.56,-2.407,1.887
-12.25,-2.402,1.868
-11.66,-3.135,2.668
-10.6,-3.137,2.924
-9.824,-3.24,2.584
-9.271,-3.796,2.503
-8.581,-4.469,2.165
-8.624,-4.74,1.952
-8.921,-4.495,1.583
-9.877,-4.304,1.272
-10.64,-3.803,1.202
-11.25,-2.814,1.099
-11.75,-2.783,1.303
-12.38,-2.223,1.274
-12.55,-2.515,1.085
-12.3,-2.278,1.178
-11.65,-1.356,0.9604
-11.38,-0.6011,0.2179
-10.33,-0.6898,0.06946
-9.238,2.134,-0.1796
-8.95,1.411,-1.169
-8.955,1.193,-1.478
-9.786,0.04072,-1.145
-10.86,-0.764,-1.02
-11.41,-1.198,0.06227
-12.61,-2.407,0.982
-12.63,-2.97,1.756
-12.5,-2.862,1.679
-12.23,-3.363,2.124
-11.36,-2.864,2.366
-10.17,-2.776,3.092
-9.506,-3.664,3.377
-8.591,-4.206,2.903
-8.157,-4.689,2.943
-8.694,-4.093,2.366
-9.183,-3.969,2.189
-10.1,-4.004,2.112
-10.79,-3.454,1.911
-11.5,-3.458,1.789
-11.85,-3.066,1.799
-12.03,-3.348,1.071
-12.44,-3.252,1.432
-12.74,-1.878,0.867
-12.13,-0.6419,0.8047
-10.55,0.8263,0.4551
-9.647,1.502,0.2467
-8.521,2.704,-0.5101
-8.325,1.207,-0.3593
-9.218,0.5988,-0.273
-9.951,-0.09341,-0.1916
-10.66,-1.423,0.1964
-11.77,-2.002,0.788
-12.26,-2.86,1.935
-12.6,-3.636,2.51
-12.73,-2.747,1.782
-11.69,-3.346,2.728
-10.99,-3.13,3.293
-10.47,-2.905,3.284
-9.156,-4.186,3.849
-8.742,-4.716,3.638
-8.749,-4.433,3.097
-9.02,-4.014,2.536
-9.503,-3.375,1.957
-10.12,-3.094,1.511
-10.34,-2.759,1.174
-10.81,-2.785,1.2
-11.71,-2.872,1.015
-12.55,-1.789,0.7616
-11.66,-1.147,0.9867
-11.24,0.01916,0.9341
-10.24,1.066,0.4143
-9.853,1.174,0.2874
-9.582,1.789,-0.7664
-9.662,1.104,-1.384
-9.642,1.095,-1.183
-10.01,0.0982,-0.4311
-10.64,-0.4862,-0.09341
-11.28,-1.796,0.7425
-11.48,-2.381,1.442
-11.94,-2.239,1.607
-11.66,-2.932,2.309
-11.12,-2.074,2.096
-10.25,-2.555,2.249
-9.65,-2.515,2.316
-9.144,-3.104,2.69
-8.763,-3.315,2.718
-9.003,-3.207,2.139
-9.161,-3.348,2.23
-9.815,-3.066,2.024
-10.38,-3.312,2
-10.98,-2.999,1.763
-11.4,-2.836,1.399
-11.73,-2.503,1.645
-11.7,-2.206,1.389
-11.64,-1.861,1.554
-10.3,-1.444,1.174
-10.01,-0.5077,0.3473
-9.266,-0.04072,-0.2251
-8.821,0.03832,-0.6898
-8.835,0.4982,-1.063
-9.123,0.08383,-0.7904
-9.197,-0.2084,-0.467
-10.08,-1.152,0.002395
-10.87,-1.995,0.3449
-10.97,-2.706,1.736
-11.78,-2.304,1.954
-11.72,-3.506,3.109
-10.9,-3.437,3.669
-10.53,-3.487,3.961
-9.693,-3.645,4.409
-9.151,-3.521,4.21
-9.235,-2.932,2.972
-9.283,-3.684,2.754
-9.575,-3.2,2.448
-10.15,-3.039,2.239
-10.85,-3.255,2.924
-11.42,-2.73,1.77
-11.62,-2.692,1.456
-11.52,-1.473,1.231
-10.84,-1.518,1.063
-10.2,-0.558,0.9125
-9.719,-0.6083,0.867
-9.044,0.3784,0.4982
-8.593,0.01677,0.1126
-8.531,0.6131,-0.1509
-9.25,-0.3185,-0.1772
-9.441,0.3473,-0.2515
-10.39,0.00479,0.4622
-11.66,-0.6419,1.087
-12.48,-2.079,1.995
-12.5,-2.716,2.453
-12.34,-3.193,3.046
-11.42,-2.886,2.908
-10.14,-2.946,3.42
-9.733,-3.185,3.882
-8.993,-3.422,3.65
-8.601,-4.268,3.561
-8.85,-4.275,3.152
-9.377,-3.576,2.781
-10.22,-3.65,2.424
-10.94,-3.001,2.424
-11.54,-2.886,2.213
-13.12,-2.862,2.747
-13.21,-1.518,1.497
-12.93,-1.595,1.49
-11.13,-0.2802,0.7544
-10.09,-0.9484,1.25
-9.175,0.867,0.1198
-8.51,1.087,-0.7329
-8.612,0.6347,-0.7808
-8.85,0.4239,-0.6011
-9.487,-0.6083,-0.2203
-10.11,-1.083,0.103
-11.01,-2.22,0.9077
-12.15,-2.747,1.526
-12.34,-2.706,1.677
-11.76,-3.207,2.52
-11.53,-2.92,2.424
-10.96,-3.252,2.661
-9.889,-3.787,3.145
-9.309,-3.961,3.231
-8.833,-4.706,3.327
-8.883,-4.754,2.738
-8.969,-4.495,2.488
-9.618,-3.861,2.045
-10.24,-3.399,1.854
-10.93,-3.219,1.559
-11.4,-2.903,1.521
-11.97,-2.62,1.241
-11.89,-2.833,1.334
-12.41,-2.062,0.8335
-11.18,-0.9891,0.285
-10.66,0.0503,-0.05988
-9.19,0.2491,0.002395
-8.629,0.4167,-0.2922
-8.368,0.1102,-0.4862
-8.792,-0.5389,-0.479
-9.391,-1.221,-0.1078
-9.743,-1.518,0.1796
-10.52,-2.345,0.5341
-11.03,-2.807,1.13
-11.54,-3.039,1.509
-11.41,-3.485,2.036
-11.23,-3.262,2.503
-10.77,-2.778,2.419
-10.11,-2.503,2.742
-9.664,-2.599,2.788
-9.192,-2.874,2.831
-9.036,-3.705,2.908
-9.23,-3.269,2.807
-9.489,-2.905,2.565
-9.98,-2.733,2.311
-10.61,-2.52,2.06
-10.97,-2.306,1.578
-11.4,-2.031,1.411
-11.42,-1.509,1.19
-10.85,-0.9724,1.063
-10.64,-1.183,1.066
-9.982,0.03593,0.5006
-9.714,0.1557,0.00479
-9.12,0.3281,-0.3616
-9.008,-0.3449,-0.2156
-9.194,-0.1461,-0.1916
-9.594,-0.6203,0.1269
-9.81,-0.6658,0.297
-10.16,-1.322,0.5125
-10.5,-2.057,0.9005
-10.78,-2.342,1.459
-10.99,-2.22,1.609
-11.16,-2.886,2.297
-10.35,-3.011,2.455
-9.82,-3.027,2.606
-9.491,-3.181,2.675
-9.319,-3.911,2.682
-9.218,-3.578,2.347
-9.214,-3.595,2.033
-9.293,-3.097,1.993
-9.7,-2.886,1.789
-10.3,-2.754,1.839
-11.14,-2.594,1.674
-11.28,-2.043,1.523
-11.39,-1.657,1.487
-11.29,-1.669,1.229
-10.73,-1.075,1.099
-10.38,-1.044,0.7472
-9.645,2.424,2.745
-10.58,1.351,-0.5916
-8.751,1.085,-0.4431
-9.408,0.5293,-0.9939
-9.64,0.3233,-0.5916
-10.77,-0.1413,-0.297
-11.59,-0.8143,0.4479
-11.89,-1.202,1.164
-11.94,-1.705,1.504
-11.44,-2.316,1.942
-10.74,-2.484,2.175
-10.21,-2.805,2.297
-9.685,-3.406,2.438
-9.19,-4.831,2.953
-8.447,-3.727,2.678
-8.579,-3.19,2.611
-9.293,-3.164,2.675
-9.707,-2.896,2.752
-10.69,-3.032,2.668
-11.33,-2.785,2.342
-12.39,-2.443,2.203
-12.48,-2.383,2.026
-11.93,-1.439,1.413
-11.41,-0.7185,1.02
-10.78,-0.1605,0.8335
-9.992,1.035,-0.4407
-9.547,0.6131,-1.545
-8.692,1.253,-1.408
-9.091,2.63,-1.72
-9.8,1.768,-1.571
-10.97,0.9077,-1.004
-12.47,-0.8287,-0.1006
-13,-1.619,1.217
-13.07,-2.383,2.182
-12.58,-3.063,2.084
-11.09,-4.143,3.099
-10.35,-4.886,3.001
-8.636,-5.813,4.254
-8.502,-4.958,3.861
-8.442,-5.202,3.48
-9.343,-4.982,3.434
-10.17,-3.897,2.855
-10.98,-3.348,2.678
-11.82,-2.577,2.644
-12.58,-1.698,1.768
-12.59,-1.593,1.49
-12.26,-1.106,0.3161
-11.51,-0.5461,0.07185
-10.54,-1.126,0.4072
-9.748,1.734,-0.9939
-9.257,1.025,-1.176
-9.144,1.648,-1.26
-9.621,1.459,-0.8095
-10.89,1.554,-0.1102
-11.85,0.479,0.6035
-12.64,-0.7281,1.777
-13.13,-1.166,1.851
-12.87,-2.67,3.14
-11.88,-3.039,3.511
-11.2,-3.006,2.546
-9.532,-4.328,3.597
-8.979,-4.634,2.936
-8.239,-5.626,3.135
-8.44,-4.785,3.123
