acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-11.11,-1.959,0.01198,0.8526,-1.363,-0.6515,0
-10.35,-3.734,2.328,0.1171,-0.2013,-0.09679,0
-11.49,-2.153,2.888,-0.6502,0.9374,0.4591,0
-10.73,-1.875,-0.2874,-0.831,2.022,1.015,0
-6.701,-0.1581,-1.684,-0.9397,2.996,1.411,0
-11.16,-2.886,2.297,-0.8872,3.786,1.768,0
-0.4982,1.976,9.695,-0.181,4.456,2.044,0
-9.621,-3.755,2.637,0.9515,4.425,1.924,0
-11.66,-2.766,1.77,2.652,4.119,1.572,0
-12.94,-3.808,3.142,1.807,3.421,0.9637,0
-10.47,-2.419,3.276,-0.2788,2.518,0.2551,0
-12.84,-1.073,-0.7233,-1.078,1.549,-0.2287,0
-11.51,-2.256,-0.00479,-0.6538,0.6649,-0.412,0
-11.81,-3.422,2.517,-0.2934,-0.1341,-0.3827,0
-8.989,-1.305,3.602,-0.269,-0.9722,-0.4694,0
-8.215,-3.724,4.812,-0.2433,-1.802,-0.6747,0
-2.86,-6.385,4.438,-0.1358,-2.59,-0.9202,0
-8.639,-4.242,1.53,0.1256,-3.263,-1.138,0
-8.962,-1.885,4.673,0.4775,-3.659,-1.217,0
-11.56,-4.907,2.548,0.7854,-3.934,-1.201,0
-8.929,-3.576,4.105,0.7096,-3.974,-1.066,0
-13.27,-0.3161,-0.007185,0.5936,-3.682,-0.8298,0
-10.42,-2.795,2.405,0.3907,-3.122,-0.5757,0
-7.717,-3.557,3.978,0.1574,-2.309,-0.3619,0
-13.07,-2.383,2.182,0.01445,-1.355,-0.1444,0
-9.441,1.396,-1.545,-0.06618,-0.2697,0.1121,0
-9.027,-1.542,5.291,-0.1163,0.7956,0.354,0
-12.18,-2.613,2.184,-0.2751,1.735,0.6436,0
-15.82,-2.364,1.221,-0.3606,2.636,1.003,0
-2.124,1.851,9.324,-0.4975,3.331,1.395,0
-6.632,5.216,-0.2012,-0.7528,3.806,1.691,0
-9.101,-3.135,2.766,-1.367,3.944,1.835,0
-8.955,-1.53,5.743,-1.729,3.862,1.831,0
-9.547,-1.095,3.957,-3,3.562,1.557,0
-11.58,-1.779,-0.3808,-2.38,2.761,1.542,0
-0.4383,1.875,9.575,-1.713,2.28,1.235,0
-15.75,-2.481,1.008,-0.9202,1.143,0.6827,0
-14.3,-1.88,0.8335,0.3162,0.241,0.1231,0
-11.67,-1.502,-1.571,0.8208,-0.8696,-0.7907,0
-7.492,-0.8239,4.644,1.364,-1.834,-1.33,0
-9.113,0.1006,-1.854,1.654,-2.785,-1.766,0
-11.43,-2.567,2.383,1.702,-3.366,-1.95,0
-6.256,-2.831,1.54,2.063,-3.759,-1.899,0
-7.698,-0.8838,0.1485,2.021,-3.899,-1.81,0
-7.822,-0.9604,-0.8383,1.721,-3.719,-1.647,0
-7.458,-2.062,3.3,1.339,-3.33,-1.476,0
